landmark,religion,city,country,founded,difficulty,riddle,hint,answer,points
Solomon's Temple,Christianity,Aizawl,India,2017,Easy,Millions visit me each year seeking blessings connected to built by Kohhran Thianghlim Church. What place am I?,City: Aizawl,solomon's temple,10
Siddhivinayak Temple,Hinduism,Mumbai,India,1801,Easy,"Across generations, I have remained revered due to one of Mumbai's richest temples. What holy site am I?",City: Mumbai,siddhivinayak temple,10
Parasnath Hill Temples,Jainism,Giridih,India,Ancient,Easy,"My history dates back to Ancient, and I am known for associated with 20 Tirthankaras. What sacred site am I?",City: Giridih,parasnath hill temples,10
Swaminarayan Temple Silvassa,Hinduism,Silvassa,India,20th century,Medium,"Through centuries since 20th century, I remain a symbol of Hinduism. I am major spiritual center in region. Who am I?",City: Silvassa,swaminarayan temple silvassa,20
Navagraha Temple,Hinduism,Guwahati,India,18th century,Easy,"Pilgrims travel great distances to reach me, for I am located on Chitrachal Hill. Located in India, who am I?",City: Guwahati,navagraha temple,10
Tripura Sundari Temple,Hinduism,Udaipur,India,1501,Easy,"I am a major pilgrimage destination because of important Diwali pilgrimage site. Found in Udaipur, identify me.",City: Udaipur,tripura sundari temple,10
Kachari Ruins Temple,Hinduism,Dimapur,India,10th century,Hard,"Though centuries have passed since 10th century, devotion tied to archaeological importance still defines me. Who am I?",City: Dimapur,kachari ruins temple,30
Vaishno Devi Temple,Hinduism,Katra,India,Ancient cave shrine,Easy,"My identity is tied to requires a 13 km trek, making me sacred to millions. What landmark am I?",City: Katra,vaishno devi temple,10
Dakshineswar Kali Temple,Hinduism,Kolkata,India,1855,Medium,"My walls echo with prayers connected to important Shakti Peetha. In India, I stand timeless. Who am I?",City: Kolkata,dakshineswar kali temple,20
Parasnath Hill Temples,Jainism,Giridih,India,Ancient,Medium,"My history dates back to Ancient, and I am known for major Jain pilgrimage site. What sacred site am I?",City: Giridih,parasnath hill temples,20
Banke Bihari Temple,Hinduism,Vrindavan,India,1864,Hard,I am sacred ground where major Janmashtami celebrations defines my importance. Identify this spiritual destination.,City: Vrindavan,banke bihari temple,30
Ramanathaswamy Temple,Hinduism,Rameswaram,India,12th century,Medium,"As a sacred center of Hinduism, I am especially known for famous for longest temple corridor in India. What is my name?",City: Rameswaram,ramanathaswamy temple,20
Shree Govindajee Temple,Hinduism,Imphal,India,1846,Easy,"I am a beacon of faith and tradition, known particularly for dedicated to Lord Krishna. Who am I?",City: Imphal,shree govindajee temple,10
Meenakshi Amman Temple,Hinduism,Madurai,India,Ancient (rebuilt 16th century),Easy,"Across generations, I have remained revered due to has over 30,000 sculptures. What holy site am I?",City: Madurai,meenakshi amman temple,10
Ranakpur Jain Temple,Jainism,Ranakpur,India,15th century,Hard,"Since 15th century, I have witnessed centuries of devotion. I am famous marble architecture. Name me.",City: Ranakpur,ranakpur jain temple,30
Vaishno Devi Temple,Hinduism,Katra,India,Ancient cave shrine,Easy,"Standing proudly in Katra, I am deeply connected to dedicated to Goddess Durga. Identify this sacred landmark.",City: Katra,vaishno devi temple,10
Meenakshi Amman Temple,Hinduism,Madurai,India,Ancient (rebuilt 16th century),Easy,"Devotees of Hinduism consider me holy because I am has over 30,000 sculptures. Identify me.",City: Madurai,meenakshi amman temple,10
Akshardham Temple Gandhinagar,Hinduism,Gandhinagar,India,1992,Hard,"Pilgrims travel great distances to reach me, for I am built by BAPS Swaminarayan. Located in India, who am I?",City: Gandhinagar,akshardham temple gandhinagar,30
Akshardham Temple,Hinduism,New Delhi,India,2005,Easy,"Across generations, I have remained revered due to largest Hindu temple complex in Delhi. What holy site am I?",City: New Delhi,akshardham temple,10
Kanaka Durga Temple,Hinduism,Vijayawada,India,Ancient,Medium,"I hold immense importance in Hinduism history, especially because I am major Dasara festival site. Name this place.",City: Vijayawada,kanaka durga temple,20
Khajuraho Temple Complex,Hinduism,Khajuraho,India,950–1050 CE,Easy,"Though centuries have passed since 950–1050 CE, devotion tied to UNESCO World Heritage Site still defines me. Who am I?",City: Khajuraho,khajuraho temple complex,10
Solomon's Temple,Christianity,Aizawl,India,2017,Easy,I shape the spiritual culture of India through large white marble structure. What sacred landmark am I?,City: Aizawl,solomon's temple,10
Anandpur Sahib,Sikhism,Anandpur Sahib,India,1665,Medium,"In the ancient city of Anandpur Sahib, I draw pilgrims from across India. I am known for founded by Guru Tegh Bahadur. Who am I?",City: Anandpur Sahib,anandpur sahib,20
Catholic Cathedral of Christ the King,Christianity,Aizawl,India,1998,Easy,"Across generations, I have remained revered due to beautiful hilltop location. What holy site am I?",City: Aizawl,catholic cathedral of christ the king,10
Shirdi Sai Baba Temple,Hinduism,Shirdi,India,1922,Medium,"Pilgrims travel great distances to reach me, for I am open to all religions. Located in India, who am I?",City: Shirdi,shirdi sai baba temple,20
Hadimba Devi Temple,Hinduism,Manali,India,1553,Easy,"Through centuries since 1553, I remain a symbol of Hinduism. I am surrounded by cedar forest. Who am I?",City: Manali,hadimba devi temple,10
Jagannath Temple,Hinduism,Puri,India,12th century,Easy,"I hold immense importance in Hinduism history, especially because I am non-Hindus are not allowed inside. Name this place.",City: Puri,jagannath temple,10
Padmanabhaswamy Temple,Hinduism,Thiruvananthapuram,India,16th century,Easy,"As a sacred center of Hinduism, I am especially known for considered one of the richest temples. What is my name?",City: Thiruvananthapuram,padmanabhaswamy temple,10
Bomdila Monastery,Buddhism,Bomdila,India,1965,Easy,"Since 1965, I have witnessed centuries of devotion. I am major Buddhist center. Name me.",City: Bomdila,bomdila monastery,10
Padmanabhaswamy Temple,Hinduism,Thiruvananthapuram,India,16th century,Easy,"Standing proudly in Thiruvananthapuram, I am deeply connected to famous temple vault treasures. Identify this sacred landmark.",City: Thiruvananthapuram,padmanabhaswamy temple,10
Kachari Ruins Temple,Hinduism,Dimapur,India,10th century,Medium,"Though centuries have passed since 10th century, devotion tied to historical temple remains still defines me. Who am I?",City: Dimapur,kachari ruins temple,20
Shani Shingnapur Temple,Hinduism,Shingnapur,India,Ancient,Easy,"I am not just a place, but a symbol of identity in Hinduism because of village without doors tradition. Name me.",City: Shingnapur,shani shingnapur temple,10
Nartiang Durga Temple,Hinduism,Nartiang,India,16th century,Medium,I am one of the most important places in Hinduism due to located in Jaintia Hills. Who am I?,City: Nartiang,nartiang durga temple,20
Mahabodhi Temple,Buddhism,Bodh Gaya,India,3rd century BCE,Medium,"Travelers journey to Bodh Gaya seeking me, for I am famous for major Buddhist pilgrimage site. What place am I?",City: Bodh Gaya,mahabodhi temple,20
Karni Mata Temple,Hinduism,Deshnoke,India,15th century,Medium,"Since 15th century, I have witnessed centuries of devotion. I am dedicated to Karni Mata. Name me.",City: Deshnoke,karni mata temple,20
